Time	E	B	G	F	I	J	C	H	K	D	A
30.3333333333333	0.525839177306259	0.00413475768484131	0.0111092404995042	0.014949821896669	0.00384721027365326	0.0829264876731034	0.00199698133853422	0.582416387611338	0.313447601626677	0.250377821987143	0.0532465477535109
30.5	0.526655812008809	0.00404875113946955	0.0109873816856861	0.0147784626795228	0.00377404743005271	0.082395985559303	0.00198897462737781	0.584375895078779	0.314281941989999	0.251058596339614	0.0525410175414929
30.6666666666667	0.527406838859258	0.00396455889653627	0.0108689131361653	0.0146103576977798	0.00370325137636553	0.0818775231425357	0.00198166403162854	0.586306545026956	0.315124860061764	0.251746639536693	0.0518471604054292
30.8333333333333	0.528093321912039	0.00388218655146449	0.0107537479366435	0.0144454363371619	0.00363477210243828	0.0813707997727765	0.00197501100320738	0.58820985241393	0.315976175577872	0.252441981228965	0.0511644587731188
31	0.528716530075025	0.00380163866240507	0.0106417894156755	0.0142836298765201	0.00356855652951994	0.0808754713595244	0.00196897520985182	0.590087446555425	0.316835666240497	0.253144653541359	0.0504923951992673
31.1666666666667	0.529277937109532	0.0037229187502367	0.0105329311446689	0.0141248714878353	0.00350454851026186	0.0803911503718018	0.00196351453511579	0.591941071124824	0.317703067718084	0.253854691073143	0.0498304523654876
31.3333333333333	0.52977922163032	0.00364602929856587	0.0104270569378838	0.0139690962362176	0.0034426888287178	0.0799174058381552	0.00195858507836972	0.593772584153175	0.318578073645348	0.25457213089793	0.0491781130802994
31.5	0.530222267105591	0.00357097175372691	0.0103240408524336	0.0138162410799066	0.0033829152003439	0.0794537633466547	0.00195414115480052	0.595583958029187	0.31946033562328	0.255297012563671	0.0485348602791293
31.6666666666667	0.530609161856991	0.00349774652478196	0.0102237471882841	0.0136662448702714	0.00332516227199869	0.0789997050448943	0.00195013529541155	0.597377279499231	0.320349463219137	0.256029378092662	0.0479001770243111
31.8333333333333	0.530942199059608	0.00342635298352101	0.0101260304882542	0.0135190483518104	0.0032693616219431	0.0785546696399917	0.00194651824702267	0.59915474966734	0.321245023966453	0.256769271981537	0.0472735465050853
32	0.531223876741973	0.00335678946446184	0.0100307355380153	0.0133745941621517	0.00321544175984046	0.0781180523985884	0.00194323897227019	0.600918683995209	0.322146543365032	0.257516741201274	0.0466544520375996
32.1666666666667	0.531456897786059	0.00328905326485008	0.00993769736609188	0.0132328268320527	0.00316332812675648	0.0776892051468498	0.00194024464960694	0.602671512302195	0.323053504880948	0.258271835197194	0.0460423770649086
32.3333333333333	0.531644169927283	0.00322314064465917	0.00984674124386119	0.0130936927854002	0.00311294309515925	0.0772674362704649	0.00193748067330219	0.604415778765317	0.323965349946549	0.259034605888955	0.0454368051569738
32.5	0.531788805754505	0.00315904682659036	0.00975768268555322	0.0129571403392107	0.00306420596891929	0.0768520107146466	0.00193489065344168	0.606154141919257	0.324881477960455	0.259805107670561	0.0448372200106638
32.6666666666667	0.531894122710028	0.00309676599607276	0.00967032744825082	0.0128231197036299	0.00301703298330947	0.0764421499841317	0.00193241641592767	0.607889374656356	0.325801246287555	0.260583397410356	0.044243105449754
32.8333333333333	0.531963643089597	0.00303629130126327	0.00958447153188965	0.0126915829819331	0.00297133730500508	0.0760370321431805	0.00192999800247885	0.609624364226622	0.326723970259013	0.261369534451025	0.0436539454249269
33	0.532001094042399	0.00297761485304662	0.00949990117925817	0.0125624841705249	0.0029270290320838	0.0756357918155773	0.0019275736706304	0.61136211223772	0.327648923172263	0.262163580609596	0.043069224013772
33.1666666666667	0.532010407571066	0.00292072772503539	0.00941639287599767	0.0124357791589396	0.00288401519402568	0.0752375201846301	0.001925079893734	0.613105734654979	0.328575336291012	0.262965600177437	0.0424884254207857
33.3333333333333	0.531995720531673	0.00286561995356995	0.00933371335060224	0.0123114257298407	0.0028421997517132	0.0748412649931708	0.00192245136095778	0.614858461801392	0.329502398845237	0.263775659920259	0.0419110339773713
33.5	0.531961358272964	0.00281228052606742	0.00925162048711573	0.0121893834685741	0.0028014839204247	0.0744460342957103	0.00191962119016167	0.616623621454136	0.330429259909663	0.264593825594206	0.0413365355576039
33.6666666666667	0.531911654667867	0.0027606972528599	0.00916987336479792	0.0120696127682493	0.00276176972276309	0.0740508377321492	0.00191652326952589	0.61840445290634	0.331355049066974	0.26542012362287	0.0407644331516404
